title,ingredients,directions,NER
My Daughter's Favorite Snack,"[""1 cup yogurt"", ""1 teaspoon honey""]","[""Place in bowl and serve.""]","[""yogurt"", ""honey""]"
White Wedding Fruit Cake Recipe,"[""1 reg. size white cake mix (18.25 ounce.), reserve 2 tbsp. dry mix""]","[""Prepare cake mix according to package directions."", ""Mix in the following which has been put into a food processor for a few seconds and dusted with the reserved dry mix."", ""1/4 c. nut meats 1/4 c. flaked coconut"", ""Pour into 8 or possibly 9 inch layer pans and bake per package directions."", ""Cold 10 min before tipping onto cooling racks."", ""Frost with cream frosting."", ""Also excellent for Christmas Holidays.""]","[""white cake""]"
-- Tasty Dish's -- Heffalumps and Woozles,"[""1 cup dark chocolate-covered peanuts"", ""1 cup pretzel (IMPORTANT! This one ( *Kettle Brand Honey-Dijon Pretzels*!)""]","[""Put the peanuts and pretzels together in a bowl one by one."", ""Mix."", ""Then eat."", ""Sing along with me: They're extraordinary!"", ""So better bewary!"", ""Because they come in every shape and size, size, size, size."", ""If honey's what you covet you'll find that they love it."", ""Because they'll guzzle up the thing you prize!""]","[""peanuts"", ""Pretzels""]"
Bo's Peanut Butter Cookies,"[""3/4c Jiff creamy peanut butter""]","[""Preheat oven to 375F (190C) F."", ""In large bowl, combine peanut butter, Crisco, brown sugar, milk, and vanilla."", ""Beat w/electric mixer."", ""Add egg and blend."", ""Combine flour, salt, and baking soda; Add to mixture and blend."", ""Place on cookie sheet and use fork to add crisscross pattern to top of each."", ""Back at 375F (190C) for 8 minutes each rotation.""]","[""peanut butter""]"
Milk Ice Cream,"[""200 grams Milk"", ""3 tbsp Skimmed milk"", ""40 grams Sugar""]","[""Put the ingredients in a heat-proof container, mix, then microwave until it rises."", ""Let it cool in the fridge."", ""(Knead twice.)"", ""I used 1 tablespoon of skimmed milk (powdered) per 100g of milk, but more might be better."", ""The photo shows milk and sugar only."", ""It's crunchy and delicious.""]","[""Milk"", ""milk"", ""Sugar""]"
Healthy Berry-Coconutty Smoothie,"[""4 tablespoons mountain high yogurt (Not Greek)"", ""coconut milk"", ""1 cup frozen mixed berries""]","[""Put around 4 big table spoons of yogurt in the blender."", ""Then add 1 cup of the frozen berries."", ""Add coconut milk as needed."", ""The less coconut milk you put in, the thinner your drink will be."", ""If you would rather eat it with a spoon, put in less coconut milk;.""]","[""yogurt"", ""coconut milk""]"
Tropical Delight Pudding,"[""4 large bananas"", ""1 orange, juice of"", ""2 ounces brown sugar"", ""1 12 ounces coconut, grated, fresh definitely preferred""]","[""Preheat oven to 400F"", ""Peel the bananas and cut lengthwise in half."", ""Arrange in a greased or nonstick pie dish."", ""Add sugar to the orange juice and stir until dissolved."", ""Pour over bananas."", ""Sprinkle with coconut and bake until the fruit is soft and coconut is brown, about 15 to 20 minutes (the recipe didn't state baking time, so I'm not sure of the exact time).""]","[""bananas"", ""orange"", ""brown sugar"", ""coconut""]"
Spaghetti Noodles With Clam Sauce Recipe,"[""Spaghetti noodles""]","[""Heat butter; add in garlic, onion, and celery."", ""Saute/fry under medium heat till vegetables are tender."", ""Stir in flour till smooth and golden brown."", ""Combine clam liquid, half and half, pepper, thyme, and salt in saucepan."", ""Add in clam meats.""]","[""noodles""]"
Fresh Mango,"[""1-1/2 cup mango chunks""]","[""Wash, peel and cut fresh mango into chunks.""]","[""mango""]"
"Banana ""custard""","[""1 banana"", ""1 tablespoon orange juice""]","[""Mash a banana."", ""Mix it with 1 TB orange juice."", ""Freeze it overnight."", ""Put it in the lunch box in the morning, and by noon \""it will have thawed enough to taste like a rich banana custard."", ""\"".""]","[""banana"", ""orange juice""]"
"Peanut Butter and Banana ""Toasts""","[""2 graham crackers, broken in half (4 squares)"", ""2 Tbsp. creamy peanut butter"", ""1 small banana, sliced"", ""1 tsp. honey""]","[""Spread graham squares with peanut butter."", ""Top with banana slices; drizzle with honey.""]","[""graham crackers"", ""peanut butter"", ""banana"", ""honey""]"
Banana Tofu Smoothie,"[""2 ripe bananas"", ""1 cup sliced strawberry"", ""1 cup milk or 1 cup yogurt"", ""1 (8 ounce) package tofu"", ""1 cup ice cube""]","[""Place all ingredients in blender and blend on medium."", ""Drink and enjoy!""]","[""bananas"", ""strawberry"", ""milk""]"
White Chocolate Heavy Cream,"[""200 ml Heavy cream"", ""100 grams White chocolate""]","[""Microwave the crushed chocolate and a little cream at 600W for 1 minute to melt the chocolate."", ""Add the rest of the cream and whip the mixture."", ""Here is the chocolate version of this: https://cookpad.com/en/recipes/144600-chocolate-mousse""]","[""White chocolate""]"
Orange Candy Frosting,"[""1 cup orange juice"", ""1 cup confectioners' sugar""]","[""Mix OJ and conf."", ""sugar."", ""Mix well."", ""Immediately pour over hot cake in pan."", ""Let stand overnight."", ""Remove from pan and slice to serve.""]","[""orange juice"", ""sugar""]"
Amaretto Zima Pineapple Juice Recipe,"[""2 ounce Amaretto"", ""1/2 x Zima"", ""1/2 x pineapple juice""]","[""Ice // rocks""]","[""pineapple juice""]"
Thank You Easy Dessert Recipe,"[""1 lg. container Cold Whip"", ""1 can Eagle Brand condensed lowfat milk"", ""1 sm. can crushed pineapple, liquid removed"", ""1 can strawberry (or possibly cherry) \""Thank You\"" pie filling""]","[""Mix well all ingredients."", ""May be eaten as is, or possibly frzn!"", ""If you like, sprinkle minced nuts over the top before serving.""]","[""milk"", ""pineapple"", ""strawberry""]"
Skeleton Bones for Halloween,"[""1 (8 ounce) bag pretzel sticks"", ""1 (10 1/2 ounce) bag mini marshmallows"", ""1 (12 ounce) package white chocolate (HERSHEY'S Premier White Baking Pieces)""]","[""Melt chocolate in microwave (15-20 seconds)."", ""Put marshmallows on each end of pretzel sticks."", ""Dip pretzels/marshmallows in chocolate and lay on parchment paper to set.""]","[""marshmallows"", ""white chocolate""]"
Lemon Icebox Pie Greek Yogurt,"[""1 cup plain Greek yogurt"", ""1 cup Cool Whip"", ""1 individual crystal light lemonade""]","[""Mix together."", ""Enjoy!""]","[""yogurt""]"
Chocolate Peanut Butter Banana Bites,"[""1 whole Banana"", ""1/4 cups Peanut Butter"", ""3 ounces, weight Dark Chocolate""]","[""1."", ""Slice the banana."", ""Spoon peanut butter (about a heaping teaspoon) on one banana slice and top with another."", ""Place into freezer to set up for about an hour."", ""2."", ""Melt dark chocolate and dip banana bites in it."", ""I place one cold bite on a fork and spoon melted chocolate over top this way the excess can drip right off."", ""Place dipped Peanut Butter Banana Bites in the fridge until the chocolate sets."", ""I like to enjoy them frozen, so I keep them in the freezer.""]","[""Banana"", ""Peanut Butter"", ""Chocolate""]"
Chocolate Rice,"[""1 liter milk"", ""100 g sugar"", ""100 g dark chocolate"", ""200 g rice""]","[""Boil the milk and the chocolate together."", ""Add the sugar and mix together."", ""Add the rice."", ""Let cook together on low heat for around 45 minutes, watch and stir often."", ""Do not eat too cold, put in the microwave for a few seconds so that the rice is soft.""]","[""milk"", ""sugar"", ""chocolate"", ""rice""]"
Halloween Bark,"[""18 ounces semisweet chocolate morsels (a bag and a half. Milk chocolate may be used instead of semi-sweet)"", ""2 cups candy corn""]","[""Pre-heat oven to 150 degrees."", ""Line baking sheet with parchment paper."", ""Spread chocolate morsels over the baking pan and place in oven."", ""Allow the chips to melt."", ""Remove pan and spread chips evenly"", ""Sprinkle chocolate with candy corn."", ""Press candy corn down slightly."", ""Allow to cool (quick set in freezer or refrigerator)."", ""Break apart."", ""Makes roughly 8-10 snack size baggies for gift giving.""]","[""chocolate"", ""corn""]"
Haystack Bunches,"[""2 squares Baker's Semi-Sweet Chocolate"", ""1 cup honey-flavored multi-grain cereal flakes with oat clusters and almonds""]","[""Melt chocolate as directed on package."", ""Add to cereal; toss to evenly coat."", ""Use tablespoon to drop cereal mixture into eight mounds on waxed paper-covered plate."", ""Refrigerate 10 min."", ""or until set."", ""Store in tightly covered container at room temperature.""]","[""Chocolate"", ""honey""]"
Yogurt Cheese,"[""32 ounces low-fat or non-fat yogurt""]","[""Line a large sieve with 4 layers of damp cheesecloth and place it over a large bowl."", ""Spoon the yogurt into the sieve, cover, and chill for at least 3 and up to 12 hours.""]","[""yogurt""]"
Addictive Salad with Menma and Avocado,"[""1 Cucumber"", ""1 Avocado"", ""1 jar Menma""]","[""Julienne the cucumber."", ""Cut the avocado into 1 cm cubes (to prevent discolouring, pour 1 tablespoon lemon juice)."", ""Combine Step 1, 2, and the menma and it's done"", ""I use \""momoya no yawaragi\"" for pickled bamboo shoots.""]","[""Cucumber"", ""Avocado""]"
Homemade Condensed Milk 1 [fresh Milk],"[""6 cups milk, whole, skim, nofat"", ""5 tablespoons sugar""]","[""In heavy saucepan pour milk and bring to a boil."", ""Reduce to a simmer and cook for about 45 minutes, stirring occasionally."", ""Stir in sugar and continue simmering 10 to 15 minutes, or until milk has reduced to 3 cups."", ""Strain."", ""Milk can be refrigerated for up to one week.""]","[""milk"", ""sugar""]"
Easy Sugar & Fat Free Chocolate and Banana Pudding Popsicles,"[""1 (1 1/3 ounce) boxfat free & sugar-free instant chocolate pudding mix"", ""2 cups milk (or what your pudding box requires)"", ""1 banana""]","[""1."", ""Make Pudding as directed on pudding box, we used cook and serve pudding."", ""2."", ""Then take the pudding and pour into each mold adding in little slices of banana as you go."", ""Fills about 4-5 molds, will depend on size of molds you have.""]","[""sugar"", ""milk"", ""banana""]"
Coconut Fruit Salad Recipe,"[""3 bananas"", ""2 Gala apples"", ""1 can of sliced pineapple (in its own juice)"", ""coconut"", ""pecans""]","[""Drain pineapple."", ""Slice bananas, apples and pineapple to desired thickness."", ""Combine in a serving bowl."", ""Add in desired amount of coconut and minced pecans to top it off.""]","[""bananas"", ""apples"", ""pineapple"", ""coconut"", ""pecans""]"
How to Neatly Peel an Avocado,"[""1 Avocado""]","[""Make a cut lengthwise down and all the way around the avocado."", ""Separate it into halves."", ""Stick the corner of your knife into the pit, then remove."", ""Cut off small sections from the stem end."", ""Stick your finger down between the flesh and the skin."", ""Then peel it all off."", ""It should look like this after peeling.""]","[""Avocado""]"
Cranberry Fruit Relish,"[""1 navel orange, peeled and chopped coarse"", ""1 cup chopped fresh or drained canned pineapple"", ""a 12-ounce bag of cranberries, picked over"", ""1 Granny Smith apple, peeled and chopped coarse"", ""1/2 cup sugar, or to taste""]","[""In a food processor grind together in batches if necessary the orange, the pineapple, the cranberries, and the apple until the mixture is chopped fine, transfer the mixture to a bowl, and stir in the sugar."", ""Let the mixture stand, covered and chilled, for at least 2 hours."", ""The relish may be made about 2 days in advance and kept covered and chilled.""]","[""orange"", ""pineapple"", ""cranberries"", ""apple"", ""sugar""]"
3 ingredient snack,"[""1 1 banana, # of small tortilla shells, peanut butter""]","[""Spread a line of peanut butter then cut banana in half(long way) then into little chunks!""]","[""banana""]"
Whiten Teeth With Banana Peel A Natural Remedy,"[""1 large ripe banana""]","[""Peel the skin of any ripe banana and cut it into square then just rub onto the teeth using the inner side of the banana peel"", ""Then brush your teeth as usual with your tooth brush and you will feel the difference"", ""SMILE '"", ""THE AMAZINGS MINERAL IN A PEEL LIKE POTASSIUM, MAGNESIUM AND MANGANESE ABSORB INTO THE TEETH AND WHITEN THEM""]","[""banana""]"
Summer Time Recipe,"[""2 big Carrots and 1/2 watermelon and pepper and lime""]","[""1."", ""Chill carrots and watermelon"", ""2. clean carrots and quarter into 2inch strips"", ""3. remove watermelon rind, and cut into similar sized strips."", ""4. sqeeze a little lime over all"", ""5."", ""Crack pepper over all, coarsely"", ""6. place in chilled bowl""]","[""Carrots""]"
BAKER'S Chocolate Drizzle,"[""1 pkg. (4 oz.) BAKER'S Semi-Sweet Chocolate""]","[""Place chocolate in microwaveable bowl."", ""Microwave on HIGH 2 min."", ""or until chocolate is almost melted, stirring after 1 min."", ""Stir until chocolate is completely melted."", ""Use teaspoon or fork to drizzle chocolate over dessert as desired.""]","[""Chocolate""]"
Eleanor's Fresh Fruit Salad,"[""1 pineapple"", ""2 large oranges"", ""2 bananas, not too ripe""]","[""Peel and core pineapple."", ""Cut into chunks and put in a large bowl."", ""Clear glass if possible."", ""Cut the top and bottom off the oranges so that they will sit firmly on the cutting board."", ""With a sharp knife, and following the contour of the orange, cut away the peel and remove all pith."", ""Holding the naked orange over your bowl, use the knife to cut into each segment."", ""You want only the flesh."", ""This gets messy, so make sure all the juice drops into the bowl with the pineapple."", ""Peel the bananas and cut into thick slices."", ""Gently stir."", ""You want the banana pieces to get covered with the juices to prevent them from turning brown."", ""Chill for a few hours before serving."", ""This is best used within 3 days -- if it lasts that long.""]","[""pineapple"", ""oranges"", ""bananas""]"
Corn Juice,"[""5 medium ears of corn""]","[""Husk the corn and pull out the silk."", ""Cut the kernels off of the cob."", ""Pass the corn through a juice extractor.""]","[""corn""]"
Banana Bon Bons^ Recipe,"[""Bananas Dry FRUIT JAM CAROB PEANUT BUTTER FROSTING EMULSIFIED PEANUT BUTTER Or possibly TAHINI HOMEMADE NUT Or possibly SEED BUTTER Coconut""]","[""Peel banan, cut in half crosswise and coat with coatings."", ""Roll in coconut."", ""Place cut side down on a plate and place in the freezer."", ""When frzn serve as they are or possibly for easier serving, cut each in half again and poke with a toothpick."", ""Store leftover bon o"", ""Note: Ingredients in capital letters refer to either another recipe or possibly a cooking method that can be found elsewhere in the series."", ""Unfamiliar ingredients can be found in most large grocery stores or possibly health food stores.""]","[""Bananas""]"
Low Fat Ranch Dressing,"[""12 ounces 1% fat cottage cheese or 12 ounces fat-free cottage cheese"", ""1 (5/8 ounce) packagehidden valley fat free ranch dressing"", ""2 -4 ounces water""]","[""Mix cottage cheese and dressing packet in your blender."", ""Add water, blending until desired consistency."", ""**UPDATE: I now use 16 ounces of the cottage cheese and use less water.""]","[""cottage cheese""]"
Broiled Banana Chocolate Pudding Recipe,"[""2 c. Skim lowfat milk"", ""1 pkt Reduce calorie instant Chocolate pudding"", ""1 med Banana peeled and thinly Sliced"", ""2 tsp Packed brown sugar""]","[""In mixing bowl combine lowfat milk and pudding mix."", ""Into a flame proof dish pour in the pudding and chill."", ""Can be prepared a day in advance."", ""Arrange the banana slices over top of pudding and sprinkle with sugar."", ""Place in oven and broil till sugar melts and is bubbly about 1 minute."", ""Don't Burn Each""]","[""milk"", ""Chocolate pudding"", ""Banana"", ""brown sugar""]"
Apricot Lite Jam Recipe,"[""2 c. dry apricots"", ""1 1/2 c. crushed pineapple unsweetened (drain if using canned pineapple)"", ""1 x orange peeled, seeded, and minced Juice of 1/2 lemon"", ""3 1/2 c. sugar""]","[""Cover apricots with cool water and let soak overnight."", ""Simmer apricots in soaking water, uncovered, till tender."", ""Mash with a potato masher or possibly in a food processor."", ""Add in pineapple, orange, lemon juice, and sugar to apricot mix."", ""Simmer till sugar has dissolved, stirring frequently; then cook over high heat till thick, about 20 to 30 min."", ""Skim off foam."", ""Pour into warm jars, leaving 1/4-inch head space."", ""Adjust caps."", ""Process 10 min in boiling water bath."", ""This recipe yields 6 half-pints."", ""Yield: 6 half-pints""]","[""apricots"", ""pineapple"", ""orange"", ""sugar""]"
Milk & More,"[""32 ounce fat-free milk""]","[""Pour an 8 ounce glass of cold milk for each person.""]","[""milk""]"
Chocolate Cutouts,"[""Chocolate: I use 60 percent cocoa mass pistols. A variety of percentage contents are on the market today. Use something that is 58 percent to 72 percent for a bittersweet. They have a great bittersweet sensation and it's relatively easy to find this percentage of cocoa mass in solid chocolate at gourmet grocery stores. They're also easier to cut-out and handle. Milk chocolate (34 percent) will work but is always softer and doesn't handle so easily. White chocolate will work too but faces the same handling problems as milk chocolate. Be sure to chill these in refrigerator.""]","[""All chocolate for these cut outs will have to be tempered by the user."", ""Even if it has been tempered (which it will have been by the manufacturer for packaging), the act of melting the chocolate will require the user to re-temper it."", ""Use a brand of chocolate that is high quality, tastes great, and fits your budget."", ""Oil based food dye: Find these at specialty baking supply stores, or easier, on-line."", ""Try www.chefrubber.com, or www.inidatree.com for oil and acrylic based dyes."", ""Cookie cutters: Use metal cookie butters and quickly heat the cutters over a gas flame to easily cut through the chocolate."", ""DO NOT dip in hot water, as chocolate and water do not mix, even if the chocolate is solid."", ""Melted chocolate should never come in contact with water or else the chocolate will seize."", ""Stencils"", ""Parchment paper"", ""X-acto or sharp paring knife"", ""Sheet pans"", ""Digital thermometer"", ""Double boiler"", ""Measure out the quantity of chocolate desired."", ""Melt 2/3 of total chocolate over a double boiler over low heat and the water just steaming (this will be a slow process)."", ""Test the temperature with a digital thermometer (do not go over 110 degrees F)."", ""Remove bowl from the heat and, bit by bit, add the remaining 1/3 non-melted chocolate to reduce temperature to 89 to 91 degrees F."", ""Spread chocolate out on parchment paper and smooth it out with an offset spatula."", ""Lift the paper and gently tap it on the counter to even out the chocolate and get rid of any air bubbles."", ""Place the paper with the chocolate on a cookie sheet and refrigerate until the chocolate is solid."", ""Chill or leave on counter until hardened."", ""I recommend leaving it on counter until it sets, then chill to make super hard for cutting with cookie cutter."", ""Cut out shapes in the chocolate with cookie cutters, using shapes without close corners where the chocolate would get stuck easily."", ""To make your own shapes, create a stencil using poster board and trace around it with a sharp knife."", ""For bright colors use white chocolate and tint it with oil based food coloring."", ""After you have cut out the shapes attach them to a frosted cake with a little melted chocolate.""]","[""Chocolate""]"
Marvelous Mango Smoothie,"[""1 large mango, peeled and cut in chunks"", ""1 cup plain yogurt or 1 cup vanilla yogurt"", ""1 tablespoon crystallized ginger, chopped"", ""2 cups ice""]","[""Add all ingredients to blender."", ""Blend until frothy."", ""Enjoy!""]","[""mango"", ""yogurt"", ""ginger""]"
Strawberry Banana Smoothie,"[""14 cup strawberry (fresh or frozen)"", ""1 banana"", ""1 cup ice"", ""orange juice""]","[""Add all ingredients to a blender and put lid on."", ""Mix until smooth."", ""Drink up.""]","[""strawberry"", ""banana"", ""orange juice""]"
Tiger Butter,"[""1 pound white chocolate"", ""1 pound chocolate (semi-sweet) melted"", ""113 cups peanut butter crunchy""]","[""Line a large jelly roll style pan, about 10 by 15 inches with parchment baking paper."", ""Spray the parchment paper lightly with cooking spray."", ""Wax paper will also work."", ""Melt the semi-sweet chocolate using the microwave or in a small pot over very low heat."", ""Meanwhile, prepare a \""bain marie\"" or double-boiler over simmering water."", ""Heat the white chocolate and peanut butter, stirring constantly until melted and combined."", ""Evenly spread the mixture onto the prepare lined pan."", ""Pour the melted dark chocolate over the top and use a knife to create the tigers stripes as desired."", ""Chill until firm."", ""Cut into 28 to 36 pieces.""]","[""white chocolate"", ""chocolate"", ""peanut butter""]"
Banana Date Breakfast Shake Recipe,"[""1 x Banana"", ""2 x Dates, pits removed, up to 3"", ""1 c. 1% Lowfat milk, (up to 1-1/2)""]","[""Put banana and dates in blender."", ""Add in a small amount of lowfat milk and blend for 1 minute."", ""Add in remainder of lowfat milk and blend for 1 more minute."", ""Drink up!"", ""This liquid breakfast is healthy and delicious.""]","[""Banana"", ""Dates"", ""milk""]"
Pretzels & Dip,"[""1/2 cup fat free, tiny twist pretzels"", ""1 oz. VELVEETA LIGHT Reduced Fat Pasteurized Prepared Cheese Product, melted"", ""4 fl oz (1/2 cup) fat-free milk""]","[""Enjoy pretzels served with VELVEETA for dipping."", ""Complement snack with a glass of milk.""]","[""pretzels"", ""milk""]"
Peanut Butter and Banana Sandwich,"[""2 slices white bread"", ""2 tablespoons peanut butter"", ""12 banana""]","[""spread and eat.""]","[""white bread"", ""peanut butter"", ""banana""]"
Easy Peanut Play Dough,"[""1 cup peanut butter"", ""1 cup powdered milk"", ""1 cup honey"", ""flour (If it needs to be thickened)""]","[""Mix all ingrediants together & add flour if you need to thicken the mix.""]","[""peanut butter"", ""powdered milk"", ""honey"", ""flour""]"
Yogurt Dipping Sauce,"[""1 cup yogurt or sour cream"", ""1 tablespoon jam""]","[""Combine ingredients in a small bowl and mix well."", ""Serve with scones, toast, or any cake.""]","[""yogurt""]"
Apple Snicker Salad Recipe,"[""Six Apples Six frzn Snicker candy bars One 12 ounce. Extra Creamy Cold Whip.""]","[""Cut apples into small pcs."", ""(No need to peel)."", ""Put frozen Snicker bars into zip lock bag and break into small pcs using hammer."", ""Mix apples and broken Snicker bars together."", ""Just before serving fold in the Cold Whip.""]","[""Apples""]"
Quick Chocolate Fudge,"[""1 pkg. (225 g) Baker's Semi-Sweet Chocolate"", ""1 can (300 mL) sweetened condensed milk""]","[""Line 8-inch square pan with foil, with ends of foil extending over sides; spray with cooking spray."", ""Melt chocolate as directed on package."", ""Add milk; mix well."", ""Spread onto bottom of prepared pan."", ""Refrigerate 1 hour or until firm."", ""Cut into 24 pieces.""]","[""Chocolate"", ""condensed milk""]"
Banana Zima Punch Recipe,"[""2 ounce Banana Schnapps"", ""1/2 x Zima"", ""1/4 x orange juice"", ""1/4 x pineapple juice""]","[""Ice // rocks""]","[""Banana"", ""orange juice"", ""pineapple juice""]"
Peanut Butter Captain Crunch No Bake Cookies Recipe,"[""2 c. each peanut butter Captain Krunch, Rice Krispies, miniature marshmallows, and peanuts""]","[""Heat 1 1/2 pounds almond bark."", ""Add in other ingredients and stir till well coated."", ""Drop by spoonfuls onto waxed paper.""]","[""peanut butter""]"
California Charoset Recipe,"[""1 lt arge Avocado, peeled and diced Juice Of 1/2 Lemon"", ""1/2 c. up Almonds, sliced"", ""1/3 c. up Raisins"", ""4 x Seedless Dates"", ""2 x Figs, or possibly prunes"", ""1 x W hole Oranges, peel and sections"", ""2 tsp bls Apple Juice"", ""2 tsp bls Matzah Meal""]","[""Toss the avocado and lemon juice in a bowl and set aside."", ""In a processor or possibly blender, place the almonds, raisins dates and figs and process till coarsely minced."", ""Add in the orange peel and sections and process briefly to combine."", ""Add in the avocado and process just one or possibly two seconds more."", ""Transfer to a glass bowl and gently mix in the apple juice and matzah meal."", ""Cover with plastic wrap and store in the refrigerator""]","[""Avocado"", ""Raisins"", ""Dates"", ""prunes"", ""Oranges"", ""Apple Juice""]"
Chocolate-Dipped Apples,"[""4 Roma or Granny Smith apples"", ""16 ounces semisweet chocolate, milk or dark"", ""8 ounces white chocolate""]","[""Various dessert topping choices"", ""Special equipment: 12 (3-inch) bamboo skewers or wooden pop sticks"", ""Arrange toppings in medium sized bowls."", ""Wash and thoroughly dry the apples."", ""Insert bamboo or wooden sticks into apple cores."", ""Melt each kind of chocolate in separate bowls over double boilers."", ""1 at a time, gently dip the apples into the chocolate and roll around, making sure to thoroughly cover."", ""Place on waxed paper."", ""Using a spoon or wooden stick, carefully drizzle the white chocolate over the dark or milk."", ""Use the thin side of the popsicle stick to make swirls and decorative patterns."", ""Dip the apples into topping bowls or sprinkle toppings over the apples."", ""Place decorated apples on waxed paper and refrigerate for 15 minutes to harden.""]","[""apples"", ""chocolate"", ""white chocolate""]"
PUMPKIN SPICE PIE,"[""2c Cold milk""]","[""Beat milk, dry pudding mixes, and cinnamon; Spread 1 1/2c onto bottom of crust"", ""Add 1 1/2c whipped topping to remaining pudding mixture and stir gently; Spoon over layer in crust"", ""Top w/remaining whipped topping"", ""Refrigerate 1 hour"", ""Top w/pecans before serving""]","[""milk""]"
banana peanut butter smoothie,"[""2 bananas"", ""1 bunch ice cubes"", ""1 peanut butter"", ""1 cup milk""]","[""put all ingredients into the blender."", ""blend until smooth""]","[""bananas"", ""peanut butter"", ""milk""]"
Chocolate-Peanut Butter Mousse Cups,"[""1 pkg. (4 oz.) BAKER'S Semi-Sweet Chocolate"", ""1/2 cup creamy peanut butter"", ""1 tub (8 oz.) COOL WHIP Whipped Topping, thawed""]","[""Melt chocolate as directed on package."", ""Stir in peanut butter; microwave on HIGH 30 sec."", ""or just until warmed."", ""Add COOL WHIP; stir with whisk just until blended."", ""Spoon into 12 small dessert cups or dishes."", ""Serve immediately.""]","[""Chocolate"", ""peanut butter""]"
Hawaiian Acai Bowl,"[""1 packages Acai (frozen)"", ""1 Banana"", ""100 ml Soy milk or milk"", ""1 Granola"", ""1 Frozen mixed berries"", ""1 Honey""]","[""Put half of the banana and 100 ml of soy milk into a blender and switch it on."", ""Once the banana and soy milk have blended, cut the acai into fourths, add to the mixture, and blend."", ""Once the mixture has the consistency of a smoothie, transfer it a bowl."", ""Thinly slice the remaining 1/2 banana."", ""Dress up with the granola, mixed berries, and sliced banana."", ""Then, top with honey to taste."", ""The taste will vary depending on the type and amount of granola, as well as the ripeness of your banana."", ""Experiment with various ways of making this acai bowl!""]","[""Banana"", ""milk"", ""Honey""]"
Applecot Sauce (Apples & Apricots),"[""14 lb dried apricot"", ""1 12 lbs apples, tart (5 or 6 medium)"", ""12 cup sugar""]","[""Wash apricots and soak for 4 hours in enough water to cover."", ""Peel, core and slice the washed apples."", ""In a medium saucepan, simmer the apricots and the soaking water for 10 minutes."", ""Put apple slices on top of the simmering apricots, cover and simmer until the apples are tender, approximately 10 to 15 minutes."", ""Thoroughly mix the sugar with the fruits and simmer 2 minutes longer."", ""Serve hot or cold, strained or unstrained, as desired.""]","[""apricot"", ""apples"", ""sugar""]"
Sugar-Free Pudding Cheese Pie,"[""1 (1 ounce) package sugar-free instant pudding mix"", ""8 ounces low fat cottage cheese"", ""8 ounces sugar-free Cool Whip""]","[""Mix all of the ingredients together in a bowl."", ""Transfer the bowl to a food processor, and blend until the consistency is completely smooth."", ""Either fill in a pie shell (almond meal pie shell recommended for those going completely low carb) or the original bowl."", ""Chill overnight or until set (cooking time=chilling time)."", ""When serving, you may garnish with whatever you think tastes appropriate (lemon zest for lemon pies, sugar free chocolate syrup for chocolate pies, fresh banana slices for banana pies, or sugar free raspberry jam over white chocolate pies).""]","[""cottage cheese"", ""sugar""]"
Banana-Orange Sunrise,"[""3 cups orange juice (calcium-fortified would be a good choice)"", ""14 cup honey"", ""2 medium bananas, sliced"", ""ice cube"", ""cranberry juice, cocktail""]","[""Place orange juice, honey and bananas in blender."", ""Add ice cubes until mixture measures 6 cups."", ""Cover and blend on low speed 30 seconds, or until smooth."", ""Divide juice mixture among 8 glasses."", ""Pour cranberry juice on top.""]","[""orange juice"", ""honey"", ""bananas"", ""cranberry juice""]"
Peaches & Cream Pudding,"[""1 cup milk"", ""1 jar (19 fl oz/540 mL) peach slices in light syrup, drained, juice reserved"", ""1 pkg. (4-serving size) Jell-O Vanilla Instant Pudding""]","[""Mix milk and reserved peach juice in medium bowl."", ""Add dry pudding mix."", ""Beat with wire whisk 2 min."", ""or until well blended."", ""Stir in peaches."", ""Refrigerate until ready to serve.""]","[""milk""]"
Tempering Chocolate,"[""Chocolate""]","[""CHECKING TEMPERING Chocolate melts best at temperatures between 104 and 113 F (40 and 45 C)."", ""Never melt chocolate directly over a heat source."", ""Use an indirect heat source like a hot water bath so the chocolate reaches a temperature of 104 to 113 F (40 to 45 C)."", ""This is the perfect temperature to begin tempering."", ""Tempering is important because it determines the final gloss, hardness, and contraction of the chocolate."", ""When you melt chocolate, the molecules of fat separate."", ""In order to put them back together, you temper it."", ""There are a variety of ways to do it."", ""One of the easiest ways to temper it is to place it in the microwave for 30 seconds at a time on high power until the chocolate is melted."", ""Be very careful not to overheat it."", ""Be careful; the chocolate will not look like it has melted because it retains its shape."", ""The chocolate should be only slightly warmer than your bottom lip."", ""You may still see lumps in it but, don't worry; the residual heat of the chocolate will melt them."", ""You can also use an immersion blender to break up the lumps and start the recrystallization process."", ""Usually, the chocolate begins to set (recrystalize) along the side of the bowl."", ""As it begins to crystallize, mix those crystals into the melted chocolate and they will begin the recrystallization process."", ""Jacque Torres likes to use glass bowl because it retains the heat and keeps the chocolate tempered a long time."", ""Another way to temper chocolate is called seeding."", ""In this method, tempering is achieved by adding small pieces of unmelted chocolate to melted chocolate."", ""The amount of unmelted chocolate to be added depends on the temperature of the melted chocolate but is usually one fourth of the total amount."", ""Torres usually uses an immersion blender to mix the two together."", ""A simple method of checking tempering is to apply a small quantity of chocolate to a piece of paper or to the point of a knife."", ""If the chocolate has been correctly tempered it will harden evenly and show a good gloss within five minutes.""]","[""Chocolate""]"
